RTT2=180.9	RTT=45.225	PING=60.3
RTT2=152.7	RTT=57.50625	PING=61.6
RTT2=128.366666667	RTT=49.7015625	PING=47.1
RTT2=193.25	RTT=121.175390625	PING=145
RTT2=320.6	RTT=274.043847656	PING=325
RTT2=224.85	RTT=86.2859619141	PING=23.7
RTT2=229.5	RTT=91.8464904785	PING=93.7
RTT2=205.825	RTT=56.4116226196	PING=44.6
RTT2=190.266666667	RTT=41.7029056549	PING=36.8
RTT2=188.62	RTT=63.0757264137	PING=70.2
RTT2=175.154545455	RTT=43.4439316034	PING=36.9
RTT2=169.508333333	RTT=46.9359829009	PING=48.1
RTT2=159.207692308	RTT=32.6589957252	PING=27.9
RTT2=150.192857143	RTT=23.3897489313	PING=20.3
RTT2=156.666666667	RTT=72.7474372328	PING=89.2
RTT2=171.675	RTT=139.686859308	PING=162
RTT2=203.576470588	RTT=253.921714827	PING=292
RTT2=188.511111111	RTT=119.580428707	PING=74.8
RTT2=182.721052632	RTT=68.2201071767	PING=51.1
RTT2=438.93	RTT=1356.55502679	PING=1786
RTT2=485.695238095	RTT=1140.8887567	PING=1069
RTT2=420.809090909	RTT=317.022189175	PING=42.4
RTT2=425.191304348	RTT=220.255547294	PING=188
RTT2=403.366666667	RTT=77.4138868234	PING=29.8
RTT2=398.16	RTT=95.1034717059	PING=101
RTT2=386.876923077	RTT=75.2258679265	PING=68.6
RTT2=417.007407407	RTT=336.056466982	PING=423
RTT2=410.471428571	RTT=248.264116745	PING=219
RTT2=390.824137931	RTT=76.9910291864	PING=19.9
RTT2=382.603333333	RTT=60.2727572966	PING=54.7
RTT2=372.735483871	RTT=47.9181893241	PING=43.8
RTT2=373.78125	RTT=124.479547331	PING=150
RTT2=359.690909091	RTT=45.8198868328	PING=19.6
RTT2=353.105882353	RTT=50.3049717082	PING=51.8
RTT2=363.222857143	RTT=202.326242927	PING=253
RTT2=347.872222222	RTT=66.4815607318	PING=21.2
RTT2=350.059459459	RTT=129.120390183	PING=150
RTT2=338.842105263	RTT=50.7300975457	PING=24.6
RTT2=339.061538462	RTT=105.682524386	PING=124
RTT2=331.1075	RTT=62.6456310966	PING=48.3
RTT2=324.56097561	RTT=43.4114077742	PING=37.0
RTT2=318.330952381	RTT=35.8278519435	PING=33.3
RTT2=313.181395349	RTT=41.5069629859	PING=43.4
RTT2=410.009090909	RTT=1164.62674075	PING=1539
RTT2=504.964444444	RTT=1846.65668519	PING=2074
RTT2=707.682608696	RTT=3437.6641713	PING=3968
RTT2=797.646808511	RTT=3085.41604282	PING=2968
RTT2=842.195833333	RTT=2247.35401071	PING=1968
RTT2=915.681632653	RTT=2164.58850268	PING=2137
RTT2=879.828	RTT=856.147125669	PING=420
RTT2=877.752941176	RTT=512.536781417	PING=398
RTT2=861.930769231	RTT=241.384195354	PING=151
RTT2=845.762264151	RTT=99.3460488386	PING=52.0
RTT2=830.914814815	RTT=48.8365122096	PING=32.0
RTT2=816.834545455	RTT=34.3341280524	PING=29.5
RTT2=804.614285714	RTT=49.0835320131	PING=54.0
RTT2=793.914035088	RTT=74.4458830033	PING=82.9
RTT2=781.625862069	RTT=59.6364707508	PING=54.7
RTT2=768.513559322	RTT=30.5841176877	PING=20.9
RTT2=759.821666667	RTT=74.6210294219	PING=89.3
RTT2=748.813114754	RTT=63.0552573555	PING=59.2
RTT2=736.864516129	RTT=32.5638143389	PING=22.4
RTT2=726.26031746	RTT=30.9409535847	PING=30.4
RTT2=715.665625	RTT=27.3852383962	PING=26.2
RTT2=706.92	RTT=50.196309599	PING=57.8
RTT2=697.092424242	RTT=41.5740773998	PING=38.7
RTT2=687.588059701	RTT=35.1435193499	PING=33.0
RTT2=677.877941176	RTT=23.8608798375	PING=20.1
RTT2=670.257971014	RTT=49.0152199594	PING=57.4
RTT2=661.778571429	RTT=45.7788049898	PING=44.7
